match_id,match_number,round,group,home_team,away_team,matchup,matchup_code,display_matchup,date_beijing_text,time_beijing_text,display_time_beijing,city,stadium,kickoff_beijing,kickoff_utc,time_basis,status,source_note
M011,11,小组赛,E组,科特迪瓦,厄瓜多尔,科特迪瓦 vs 厄瓜多尔,科特迪瓦 vs 厄瓜多尔,科特迪瓦 vs 厄瓜多尔,6月15日,07:00,6月15日 07:00 北京时间,费城 (Philadelphia),,2026-06-15T07:00:00+08:00,2026-06-14T23:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M012,12,小组赛,F组,瑞典,突尼斯,瑞典 vs 突尼斯,瑞典 vs 突尼斯,瑞典 vs 突尼斯,6月15日,10:00,6月15日 10:00 北京时间,蒙特雷 (Monterrey),,2026-06-15T10:00:00+08:00,2026-06-15T02:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M013,13,小组赛,H组,西班牙,佛得角,西班牙 vs 佛得角,西班牙 vs 佛得角,西班牙 vs 佛得角,6月16日,00:00,6月16日 00:00 北京时间,亚特兰大 (Atlanta),,2026-06-16T00:00:00+08:00,2026-06-15T16:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M014,14,小组赛,G组,比利时,埃及,比利时 vs 埃及,比利时 vs 埃及,比利时 vs 埃及,6月16日,03:00,6月16日 03:00 北京时间,西雅图 (Seattle),,2026-06-16T03:00:00+08:00,2026-06-15T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M015,15,小组赛,H组,沙特阿拉伯,乌拉圭,沙特阿拉伯 vs 乌拉圭,沙特阿拉伯 vs 乌拉圭,沙特阿拉伯 vs 乌拉圭,6月16日,06:00,6月16日 06:00 北京时间,迈阿密 (Miami),,2026-06-16T06:00:00+08:00,2026-06-15T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M016,16,小组赛,G组,伊朗,新西兰,伊朗 vs 新西兰,伊朗 vs 新西兰,伊朗 vs 新西兰,6月16日,09:00,6月16日 09:00 北京时间,洛杉矶 (Los Angeles),,2026-06-16T09:00:00+08:00,2026-06-16T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M017,17,小组赛,I组,法国,塞内加尔,法国 vs 塞内加尔,法国 vs 塞内加尔,法国 vs 塞内加尔,6月17日,03:00,6月17日 03:00 北京时间,纽约 (New York),,2026-06-17T03:00:00+08:00,2026-06-16T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M018,18,小组赛,I组,伊拉克,挪威,伊拉克 vs 挪威,伊拉克 vs 挪威,伊拉克 vs 挪威,6月17日,06:00,6月17日 06:00 北京时间,马萨诸塞 (Massachusetts),,2026-06-17T06:00:00+08:00,2026-06-16T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M019,19,小组赛,J组,阿根廷,阿尔及利亚,阿根廷 vs 阿尔及利亚,阿根廷 vs 阿尔及利亚,阿根廷 vs 阿尔及利亚,6月17日,09:00,6月17日 09:00 北京时间,堪萨斯城 (Kansas City),,2026-06-17T09:00:00+08:00,2026-06-17T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M020,20,小组赛,J组,奥地利,约旦,奥地利 vs 约旦,奥地利 vs 约旦,奥地利 vs 约旦,6月17日,12:00,6月17日 12:00 北京时间,圣克拉拉 (Santa Clara),,2026-06-17T12:00:00+08:00,2026-06-17T04:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M021,21,小组赛,K组,葡萄牙,刚果(金),葡萄牙 vs 刚果(金),葡萄牙 vs 刚果(金),葡萄牙 vs 刚果(金),6月18日,01:00,6月18日 01:00 北京时间,休斯敦 (Houston),,2026-06-18T01:00:00+08:00,2026-06-17T17:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M022,22,小组赛,L组,英格兰,克罗地亚,英格兰 vs 克罗地亚,英格兰 vs 克罗地亚,英格兰 vs 克罗地亚,6月18日,04:00,6月18日 04:00 北京时间,达拉斯 (Dallas),,2026-06-18T04:00:00+08:00,2026-06-17T20:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M023,23,小组赛,L组,加纳,巴拿马,加纳 vs 巴拿马,加纳 vs 巴拿马,加纳 vs 巴拿马,6月18日,07:00,6月18日 07:00 北京时间,多伦多 (Toronto),,2026-06-18T07:00:00+08:00,2026-06-17T23:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M024,24,小组赛,K组,乌兹别克斯坦,哥伦比亚,乌兹别克斯坦 vs 哥伦比亚,乌兹别克斯坦 vs 哥伦比亚,乌兹别克斯坦 vs 哥伦比亚,6月18日,10:00,6月18日 10:00 北京时间,墨西哥城 (Mexico City),,2026-06-18T10:00:00+08:00,2026-06-18T02:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M025,25,小组赛,A组,捷克,南非,捷克 vs 南非,捷克 vs 南非,捷克 vs 南非,6月19日,00:00,6月19日 00:00 北京时间,亚特兰大 (Atlanta),,2026-06-19T00:00:00+08:00,2026-06-18T16:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M026,26,小组赛,B组,瑞士,波黑,瑞士 vs 波黑,瑞士 vs 波黑,瑞士 vs 波黑,6月19日,03:00,6月19日 03:00 北京时间,洛杉矶 (Los Angeles),,2026-06-19T03:00:00+08:00,2026-06-18T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M027,27,小组赛,B组,加拿大,卡塔尔,加拿大 vs 卡塔尔,加拿大 vs 卡塔尔,加拿大 vs 卡塔尔,6月19日,06:00,6月19日 06:00 北京时间,温哥华 (Vancouver),,2026-06-19T06:00:00+08:00,2026-06-18T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M028,28,小组赛,A组,墨西哥,韩国,墨西哥 vs 韩国,墨西哥 vs 韩国,墨西哥 vs 韩国,6月19日,09:00,6月19日 09:00 北京时间,瓜达拉哈拉 (Guadalajara),,2026-06-19T09:00:00+08:00,2026-06-19T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M029,29,小组赛,D组,美国,澳大利亚,美国 vs 澳大利亚,美国 vs 澳大利亚,美国 vs 澳大利亚,6月20日,03:00,6月20日 03:00 北京时间,西雅图 (Seattle),,2026-06-20T03:00:00+08:00,2026-06-19T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M030,30,小组赛,C组,苏格兰,摩洛哥,苏格兰 vs 摩洛哥,苏格兰 vs 摩洛哥,苏格兰 vs 摩洛哥,6月20日,06:00,6月20日 06:00 北京时间,马萨诸塞 (Massachusetts),,2026-06-20T06:00:00+08:00,2026-06-19T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M031,31,小组赛,C组,巴西,海地,巴西 vs 海地,巴西 vs 海地,巴西 vs 海地,6月20日,09:00,6月20日 09:00 北京时间,费城 (Philadelphia),,2026-06-20T09:00:00+08:00,2026-06-20T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M032,32,小组赛,D组,土耳其,巴拉圭,土耳其 vs 巴拉圭,土耳其 vs 巴拉圭,土耳其 vs 巴拉圭,6月20日,12:00,6月20日 12:00 北京时间,圣克拉拉 (Santa Clara),,2026-06-20T12:00:00+08:00,2026-06-20T04:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M033,33,小组赛,F组,荷兰,瑞典,荷兰 vs 瑞典,荷兰 vs 瑞典,荷兰 vs 瑞典,6月21日,01:00,6月21日 01:00 北京时间,休斯敦 (Houston),,2026-06-21T01:00:00+08:00,2026-06-20T17:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M034,34,小组赛,E组,德国,科特迪瓦,德国 vs 科特迪瓦,德国 vs 科特迪瓦,德国 vs 科特迪瓦,6月21日,04:00,6月21日 04:00 北京时间,多伦多 (Toronto),,2026-06-21T04:00:00+08:00,2026-06-20T20:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M035,35,小组赛,E组,厄瓜多尔,库拉索,厄瓜多尔 vs 库拉索,厄瓜多尔 vs 库拉索,厄瓜多尔 vs 库拉索,6月21日,08:00,6月21日 08:00 北京时间,堪萨斯城 (Kansas City),,2026-06-21T08:00:00+08:00,2026-06-21T00:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M036,36,小组赛,F组,突尼斯,日本,突尼斯 vs 日本,突尼斯 vs 日本,突尼斯 vs 日本,6月21日,12:00,6月21日 12:00 北京时间,蒙特雷 (Monterrey),,2026-06-21T12:00:00+08:00,2026-06-21T04:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M037,37,小组赛,H组,西班牙,沙特阿拉伯,西班牙 vs 沙特阿拉伯,西班牙 vs 沙特阿拉伯,西班牙 vs 沙特阿拉伯,6月22日,00:00,6月22日 00:00 北京时间,亚特兰大 (Atlanta),,2026-06-22T00:00:00+08:00,2026-06-21T16:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M038,38,小组赛,G组,比利时,伊朗,比利时 vs 伊朗,比利时 vs 伊朗,比利时 vs 伊朗,6月22日,03:00,6月22日 03:00 北京时间,洛杉矶 (Los Angeles),,2026-06-22T03:00:00+08:00,2026-06-21T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M039,39,小组赛,H组,乌拉圭,佛得角,乌拉圭 vs 佛得角,乌拉圭 vs 佛得角,乌拉圭 vs 佛得角,6月22日,06:00,6月22日 06:00 北京时间,迈阿密 (Miami),,2026-06-22T06:00:00+08:00,2026-06-21T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M040,40,小组赛,G组,新西兰,埃及,新西兰 vs 埃及,新西兰 vs 埃及,新西兰 vs 埃及,6月22日,09:00,6月22日 09:00 北京时间,温哥华 (Vancouver),,2026-06-22T09:00:00+08:00,2026-06-22T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M041,41,小组赛,J组,阿根廷,奥地利,阿根廷 vs 奥地利,阿根廷 vs 奥地利,阿根廷 vs 奥地利,6月23日,01:00,6月23日 01:00 北京时间,达拉斯 (Dallas),,2026-06-23T01:00:00+08:00,2026-06-22T17:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M042,42,小组赛,I组,法国,伊拉克,法国 vs 伊拉克,法国 vs 伊拉克,法国 vs 伊拉克,6月23日,05:00,6月23日 05:00 北京时间,费城 (Philadelphia),,2026-06-23T05:00:00+08:00,2026-06-22T21:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M043,43,小组赛,I组,挪威,塞内加尔,挪威 vs 塞内加尔,挪威 vs 塞内加尔,挪威 vs 塞内加尔,6月23日,08:00,6月23日 08:00 北京时间,纽约 (New York),,2026-06-23T08:00:00+08:00,2026-06-23T00:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M044,44,小组赛,J组,约旦,阿尔及利亚,约旦 vs 阿尔及利亚,约旦 vs 阿尔及利亚,约旦 vs 阿尔及利亚,6月23日,11:00,6月23日 11:00 北京时间,圣克拉拉 (Santa Clara),,2026-06-23T11:00:00+08:00,2026-06-23T03:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M045,45,小组赛,K组,葡萄牙,乌兹别克斯坦,葡萄牙 vs 乌兹别克斯坦,葡萄牙 vs 乌兹别克斯坦,葡萄牙 vs 乌兹别克斯坦,6月24日,01:00,6月24日 01:00 北京时间,休斯敦 (Houston),,2026-06-24T01:00:00+08:00,2026-06-23T17:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M046,46,小组赛,L组,英格兰,加纳,英格兰 vs 加纳,英格兰 vs 加纳,英格兰 vs 加纳,6月24日,04:00,6月24日 04:00 北京时间,马萨诸塞 (Massachusetts),,2026-06-24T04:00:00+08:00,2026-06-23T20:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M047,47,小组赛,L组,巴拿马,克罗地亚,巴拿马 vs 克罗地亚,巴拿马 vs 克罗地亚,巴拿马 vs 克罗地亚,6月24日,07:00,6月24日 07:00 北京时间,多伦多 (Toronto),,2026-06-24T07:00:00+08:00,2026-06-23T23:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M048,48,小组赛,K组,哥伦比亚,刚果(金),哥伦比亚 vs 刚果(金),哥伦比亚 vs 刚果(金),哥伦比亚 vs 刚果(金),6月24日,10:00,6月24日 10:00 北京时间,瓜达拉哈拉 (Guadalajara),,2026-06-24T10:00:00+08:00,2026-06-24T02:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M049,49,小组赛,B组,瑞士,加拿大,瑞士 vs 加拿大,瑞士 vs 加拿大,瑞士 vs 加拿大,6月25日,03:00,6月25日 03:00 北京时间,温哥华 (Vancouver),,2026-06-25T03:00:00+08:00,2026-06-24T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M050,50,小组赛,B组,波黑,卡塔尔,波黑 vs 卡塔尔,波黑 vs 卡塔尔,波黑 vs 卡塔尔,6月25日,03:00,6月25日 03:00 北京时间,西雅图 (Seattle),,2026-06-25T03:00:00+08:00,2026-06-24T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M051,51,小组赛,C组,苏格兰,巴西,苏格兰 vs 巴西,苏格兰 vs 巴西,苏格兰 vs 巴西,6月25日,06:00,6月25日 06:00 北京时间,迈阿密 (Miami),,2026-06-25T06:00:00+08:00,2026-06-24T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M052,52,小组赛,C组,摩洛哥,海地,摩洛哥 vs 海地,摩洛哥 vs 海地,摩洛哥 vs 海地,6月25日,06:00,6月25日 06:00 北京时间,亚特兰大 (Atlanta),,2026-06-25T06:00:00+08:00,2026-06-24T22:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M053,53,小组赛,A组,捷克,墨西哥,捷克 vs 墨西哥,捷克 vs 墨西哥,捷克 vs 墨西哥,6月25日,09:00,6月25日 09:00 北京时间,墨西哥城 (Mexico City),,2026-06-25T09:00:00+08:00,2026-06-25T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M054,54,小组赛,A组,南非,韩国,南非 vs 韩国,南非 vs 韩国,南非 vs 韩国,6月25日,09:00,6月25日 09:00 北京时间,蒙特雷 (Monterrey),,2026-06-25T09:00:00+08:00,2026-06-25T01:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M055,55,小组赛,E组,厄瓜多尔,德国,厄瓜多尔 vs 德国,厄瓜多尔 vs 德国,厄瓜多尔 vs 德国,6月26日,04:00,6月26日 04:00 北京时间,纽约 (New York),,2026-06-26T04:00:00+08:00,2026-06-25T20:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M056,56,小组赛,E组,库拉索,科特迪瓦,库拉索 vs 科特迪瓦,库拉索 vs 科特迪瓦,库拉索 vs 科特迪瓦,6月26日,04:00,6月26日 04:00 北京时间,费城 (Philadelphia),,2026-06-26T04:00:00+08:00,2026-06-25T20:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M057,57,小组赛,F组,日本,瑞典,日本 vs 瑞典,日本 vs 瑞典,日本 vs 瑞典,6月26日,07:00,6月26日 07:00 北京时间,堪萨斯城 (Kansas City),,2026-06-26T07:00:00+08:00,2026-06-25T23:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M058,58,小组赛,F组,突尼斯,荷兰,突尼斯 vs 荷兰,突尼斯 vs 荷兰,突尼斯 vs 荷兰,6月26日,07:00,6月26日 07:00 北京时间,达拉斯 (Dallas),,2026-06-26T07:00:00+08:00,2026-06-25T23:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M059,59,小组赛,D组,土耳其,美国,土耳其 vs 美国,土耳其 vs 美国,土耳其 vs 美国,6月26日,10:00,6月26日 10:00 北京时间,洛杉矶 (Los Angeles),,2026-06-26T10:00:00+08:00,2026-06-26T02:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M060,60,小组赛,D组,巴拉圭,澳大利亚,巴拉圭 vs 澳大利亚,巴拉圭 vs 澳大利亚,巴拉圭 vs 澳大利亚,6月26日,10:00,6月26日 10:00 北京时间,圣克拉拉 (Santa Clara),,2026-06-26T10:00:00+08:00,2026-06-26T02:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M061,61,小组赛,I组,挪威,法国,挪威 vs 法国,挪威 vs 法国,挪威 vs 法国,6月27日,03:00,6月27日 03:00 北京时间,马萨诸塞 (Massachusetts),,2026-06-27T03:00:00+08:00,2026-06-26T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M062,62,小组赛,I组,塞内加尔,伊拉克,塞内加尔 vs 伊拉克,塞内加尔 vs 伊拉克,塞内加尔 vs 伊拉克,6月27日,03:00,6月27日 03:00 北京时间,多伦多 (Toronto),,2026-06-27T03:00:00+08:00,2026-06-26T19:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M063,63,小组赛,H组,佛得角,沙特阿拉伯,佛得角 vs 沙特阿拉伯,佛得角 vs 沙特阿拉伯,佛得角 vs 沙特阿拉伯,6月27日,08:00,6月27日 08:00 北京时间,瓜达拉哈拉 (Guadalajara),,2026-06-27T08:00:00+08:00,2026-06-27T00:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M064,64,小组赛,H组,乌拉圭,西班牙,乌拉圭 vs 西班牙,乌拉圭 vs 西班牙,乌拉圭 vs 西班牙,6月27日,08:00,6月27日 08:00 北京时间,休斯敦 (Houston),,2026-06-27T08:00:00+08:00,2026-06-27T00:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M065,65,小组赛,G组,埃及,伊朗,埃及 vs 伊朗,埃及 vs 伊朗,埃及 vs 伊朗,6月27日,11:00,6月27日 11:00 北京时间,温哥华 (Vancouver),,2026-06-27T11:00:00+08:00,2026-06-27T03:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M066,66,小组赛,G组,新西兰,比利时,新西兰 vs 比利时,新西兰 vs 比利时,新西兰 vs 比利时,6月27日,11:00,6月27日 11:00 北京时间,西雅图 (Seattle),,2026-06-27T11:00:00+08:00,2026-06-27T03:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M067,67,小组赛,L组,巴拿马,英格兰,巴拿马 vs 英格兰,巴拿马 vs 英格兰,巴拿马 vs 英格兰,6月28日,05:00,6月28日 05:00 北京时间,纽约 (New York),,2026-06-28T05:00:00+08:00,2026-06-27T21:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M068,68,小组赛,L组,克罗地亚,加纳,克罗地亚 vs 加纳,克罗地亚 vs 加纳,克罗地亚 vs 加纳,6月28日,05:00,6月28日 05:00 北京时间,费城 (Philadelphia),,2026-06-28T05:00:00+08:00,2026-06-27T21:00:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
M069,69,小组赛,K组,哥伦比亚,葡萄牙,哥伦比亚 vs 葡萄牙,哥伦比亚 vs 葡萄牙,哥伦比亚 vs 葡萄牙,6月28日,07:30,6月28日 07:30 北京时间,迈阿密 (Miami),,2026-06-28T07:30:00+08:00,2026-06-27T23:30:00Z,uploaded latest schedule image uses Beijing time / GMT+8,scheduled,manually transcribed from the latest user-provided schedule image; do not use older HTML placeholder teams
